locationid,site,room,publicaccess,description,unitposition
3591,East Building,EBL,1,East Bldg Lawn,
3592,East Building,EBL,1,East Bldg Lawn,E
3593,East Building,EBL,1,East Bldg Lawn,S
3594,East Building,EBL,1,East Bldg Lawn,W
3617,East Building,EC-003,1,"East Bldg, Auditorium Lobby",
3618,East Building,EC-003,1,"East Bldg, Auditorium Lobby",E
3619,East Building,EC-003,1,"East Bldg, Auditorium Lobby",N
3620,East Building,EC-003,1,"East Bldg, Auditorium Lobby",S
3621,East Building,EC-003,1,"East Bldg, Auditorium Lobby",W
3627,East Building,EC-005,1,"East Bldg, Auditorium",
3628,East Building,EC-005,1,"East Bldg, Auditorium",E
3629,East Building,EC-005,1,"East Bldg, Auditorium",N
3630,East Building,EC-005,1,"East Bldg, Auditorium",S
3631,East Building,EC-005,1,"East Bldg, Auditorium",W
3680,East Building,EC-028,1,"East Bldg, Concourse Gallery Lobby",
3681,East Building,EC-028,1,"East Bldg, Concourse Gallery Lobby",E
3682,East Building,EC-028,1,"East Bldg, Concourse Gallery Lobby",N
3683,East Building,EC-028,1,"East Bldg, Concourse Gallery Lobby",S
3684,East Building,EC-028,1,"East Bldg, Concourse Gallery Lobby",W
3809,East Building,EG-100,1,"East Bldg, Central Atrium",
3810,East Building,EG-100,1,"East Bldg, Central Atrium",E
3811,East Building,EG-100,1,"East Bldg, Central Atrium",N
3812,East Building,EG-100,1,"East Bldg, Central Atrium",S
3813,East Building,EG-100,1,"East Bldg, Central Atrium",W
3814,East Building,EG-101,1,"East Bldg, Entrance Lobby",
3815,East Building,EG-101,1,"East Bldg, Entrance Lobby",E
3816,East Building,EG-101,1,"East Bldg, Entrance Lobby",N
3817,East Building,EG-101,1,"East Bldg, Entrance Lobby",W
3850,East Building,EG-105,1,"East Bldg, Vestibule, 105 (Pod 1)",
3851,East Building,EG-105,1,"East Bldg, Vestibule, 105 (Pod 1)",W
3863,East Building,EG-107,1,"East Bldg, Ground, Elevator Lobby",
3864,East Building,EG-107,1,"East Bldg, Ground, Elevator Lobby",N
3865,East Building,EG-107,1,"East Bldg, Ground, Elevator Lobby",S
3922,East Building,EM-201,1,"East Bldg, Mezz. Landing",S
3923,East Building,EM-203,1,"East Bldg, Mezz. Terrace",
3924,East Building,EM-203,1,"East Bldg, Mezz. Terrace",E
3925,East Building,EM-203,1,"East Bldg, Mezz. Terrace",N
3926,East Building,EM-203,1,"East Bldg, Mezz. Terrace",S
3928,East Building,EM-204,1,"East Bldg, Mezz. Elevator Lobby",
3929,East Building,EM-204,1,"East Bldg, Mezz. Elevator Lobby",S
3932,East Building,EM-214-A,1,"East Bldg, Mezz Gal 214A (Pod 2)",
3933,East Building,EM-214-A,1,"East Bldg, Mezz Gal 214A (Pod 2)",E
3934,East Building,EM-214-A,1,"East Bldg, Mezz Gal 214A (Pod 2)",N
3935,East Building,EM-214-A,1,"East Bldg, Mezz Gal 214A (Pod 2)",S
3936,East Building,EM-214-A,1,"East Bldg, Mezz Gal 214A (Pod 2)",W
3947,East Building,EM-216,1,"East Bldg, Vestibule, 216 (Pod 1)",
3948,East Building,EM-216,1,"East Bldg, Vestibule, 216 (Pod 1)",N
3949,East Building,EM-216,1,"East Bldg, Vestibule, 216 (Pod 1)",S
3955,East Building,EM-217-B,1,"East Bldg, Mezz Gal 217B (Pod 1)",
3956,East Building,EM-217-B,1,"East Bldg, Mezz Gal 217B (Pod 1)",E
3957,East Building,EM-217-B,1,"East Bldg, Mezz Gal 217B (Pod 1)",N
3958,East Building,EM-217-B,1,"East Bldg, Mezz Gal 217B (Pod 1)",S
3959,East Building,EM-217-B,1,"East Bldg, Mezz Gal 217B (Pod 1)",W
3968,East Building,ENT,1,"East Bldg, North Terrace",
3971,East Building,EST,1,"East Bldg, South Terrace",
4166,East Building,EU-401,1,"East Bldg, Upper, Elevator Lobby",
4167,East Building,EU-401,1,"East Bldg, Upper, Elevator Lobby",S
4168,East Building,EU-401,1,"East Bldg, Upper, Elevator Lobby",W
4206,East Building,EU-405,1,"East Bldg, West Terrace",
4207,East Building,EU-405,1,"East Bldg, West Terrace",N
4208,East Building,EU-405,1,"East Bldg, West Terrace",S
4209,East Building,EU-405,1,"East Bldg, West Terrace",W
